,band_combo,description,is_featured,full_size,large,thumbnail,profile_picture_attribution,sponsor_name,sponsor_website,birthday,date_imported,date_modified,get_age,get_life_stage,name,primary_band,sex,slug,status,study_area,colours,date_deployed,special,style,symbols
32,White I on Black,"Cessna was named by Helen Nugteren - an Arthur's Pass local. Her daughter is a pilot in the PNG Highlands for Missionary Aviation Fellowship. She flies little Cessna planes, ferrying emergency medical patients, emergency relief supplies...and anything you want to name!  Helen helps to promote kea sightings database and keeps an eye on local kea.",False,https://media.keadatabase.nz/media/birds/cessna/Cessna_and_mountains.jpg,https://media.keadatabase.nz/media/__sized__/birds/cessna/Cessna_and_mountains-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/cessna/Cessna_and_mountains-crop-c0-5__0-5-350x250-70.jpg,"Chinook Helicopters, Abbotsford, BC",,,2019-01-01,2019-07-12T12:10:35+12:00,2019-07-19T15:36:57.840243+12:00,0,Fledgling,Cessna,V-2960,Female,cessna,Alive,Waimakariri,"['white', 'black']",2019-06-27,,new,['I']
33,Yellow N on Black,Chaos was named by the Forest & Bird North Canterbury Branch.,False,https://media.keadatabase.nz/media/birds/chaos/Chaos.JPG,https://media.keadatabase.nz/media/__sized__/birds/chaos/Chaos-crop-c0-49__0-37-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/chaos/Chaos-crop-c0-49__0-37-350x250-70.JPG,,Forest & Bird (North Canterbury),http://forestandbird.org.nz/,2015-01-01,2017-06-28T00:21:19.176253+12:00,2018-04-04T11:00:26.487104+12:00,4,Adult,Chaos,V-1571,Male,chaos,Alive,Waimakariri,"['yellow', 'black']",2016-10-16,,new,['N']
34,Black AZ on Yellow,Charlie is named in memory of Pa Charlie - grandpa and family rock. Kea Charlie is an adult male kea that has started hanging around the Porters Ski area with another adult male named Trooper (who has 3 plain metal bands).,False,https://media.keadatabase.nz/media/birds/charlie/Profile_pic_for_Charlie.jpg,https://media.keadatabase.nz/media/__sized__/birds/charlie/Profile_pic_for_Charlie-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/charlie/Profile_pic_for_Charlie-crop-c0-5__0-5-350x250-70.jpg,Keiran Kruger,,,2016-01-01,2019-07-29T15:52:21+12:00,2019-07-29T15:52:27.823147+12:00,3,Sub-Adult,Charlie,V-3197,Male,charlie,Alive,Waimakariri,"['black', 'yellow']",2019-07-25,,new,['AZ']
35,x / x - Pink / x,"Look closely at Cheeky's band and you will see pink in the numbers. Cheeky was hatched at Willowbank. His Father Johnny and sister Angelina live at Willowbank as well. Cheeky is a mid ranking kea in the Willowbank flock. However, he is always first to take advantage of any opportunities for food or fun, hence his name Cheeky.",False,https://media.keadatabase.nz/media/birds/cheeky/cheeky01.jpg,https://media.keadatabase.nz/media/__sized__/birds/cheeky/cheeky01-crop-c0-5__0-34-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/cheeky/cheeky01-crop-c0-5__0-34-350x250-70.jpg,Willowbank,,,2006-10-22,2017-10-13T11:09:34+13:00,2017-10-13T11:09:35.258525+13:00,12,Adult,Cheeky,,Male,cheeky,Alive,Willowbank,['pink'],2017-10-13,,old,[]
36,Black AS on Yellow,"Cheiroso (pronounced shay-roh-zoe) is a juvenile male Milford Sound kea who is too curious for his own good. Cheiroso was caught and banded at Bedrock, the Milford Sound Lodge's staff accommodation, by Laura, Kaitiaki Cam, and a few lodgies (how MSL's staff are known). Cheiroso means 'one that emanates a nice smell' in Portuguese. He was named by Brazilian lodgie Henrique, who was intrigued by the kea's musky however pleasing smell while handling him for measuring, banding, and lead testing.

Cheiroso is a calm and friendly mountain parrot, and due to his curiosity he kept falling in the same trap over and over again after being caught for the first time, which made the lodgies wonder if he actually weirdly enjoyed the sensation of being captured. He also sports a pretty sweet nickname, Sas, due to his black AS on yellow band.",False,https://media.keadatabase.nz/media/birds/cheiroso/Cheiroso.jpg,https://media.keadatabase.nz/media/__sized__/birds/cheiroso/Cheiroso-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/cheiroso/Cheiroso-crop-c0-5__0-5-350x250-70.jpg,Lauren Maier,Milford Sound Lodge,https://www.milfordlodge.com/,2019-01-01,2019-08-29T16:10:33+12:00,2019-08-29T16:10:41.774375+12:00,0,Fledgling,Cheiroso,V-3154,Male,cheiroso,Alive,Fiordland,"['black', 'yellow']",2019-08-19,,new,['A5']
37,White L on Pink,"This lovely kea is named in honour of each of the female chief justices in Australia and New Zealand.

Chief Justice was banded as an fledgling at Arthur's Pass Township in March 2018 by Becky and Mark.",True,https://media.keadatabase.nz/media/birds/chief-justice/chiefjustice.JPG,https://media.keadatabase.nz/media/__sized__/birds/chief-justice/chiefjustice-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/chief-justice/chiefjustice-crop-c0-5__0-5-350x250-70.JPG,Mark Brabyn,Anonymous Donor,,2018-01-01,2018-03-24T11:38:46+13:00,2018-04-04T11:00:26.643156+12:00,1,Juvenile,Chief Justice,V-2199,Female,chief-justice,Alive,Waimakariri,"['white', 'pink']",2018-03-08,,new,['L']
38,Black A on Green,"Chisai is one of the smallest fledgling females around. She weighed just over 500g at the time of banding (August 2019), has a tiny little top bill, small head and very petite bone structure. Chisai is a japanese term for tiny and cute! Very fitting for this petit little kea.",False,https://media.keadatabase.nz/media/birds/chisai/TobyMansonPhoto_Kea_MilfordSound-2017-19.jpg,https://media.keadatabase.nz/media/__sized__/birds/chisai/TobyMansonPhoto_Kea_MilfordSound-2017-19-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/chisai/TobyMansonPhoto_Kea_MilfordSound-2017-19-crop-c0-5__0-5-350x250-70.jpg,Toby Manson,,,2019-01-01,2019-08-29T14:17:23+12:00,2019-08-29T14:17:28.848368+12:00,0,Fledgling,Chisai,V-3053,Female,chisai,Alive,Waimakariri,"['black', 'green']",2019-08-24,,new,['A']
39,Black E on Orange,'Chopper' is a special kea.,False,https://media.keadatabase.nz/media/birds/chopper/Fledgie_Barker_Hut_Christian_Miller.jpg,https://media.keadatabase.nz/media/__sized__/birds/chopper/Fledgie_Barker_Hut_Christian_Miller-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/chopper/Fledgie_Barker_Hut_Christian_Miller-crop-c0-5__0-5-350x250-70.jpg,Christian Miller,,,2019-01-01,2019-04-18T13:09:17+12:00,2019-04-18T13:13:48.164512+12:00,0,Fledgling,Chopper,V-1436,Male,chopper,Alive,Waimakariri,"['orange', 'black']",2019-03-06,,new,['E']
40,White 5 on Brown,Clarence was banded at the Otira Viaduct lookout in June 2019 by Laura and Renny as a fledgling. He has been sponsored by the Dunlop Family.,False,https://media.keadatabase.nz/media/birds/clarence/2-2.jpg,https://media.keadatabase.nz/media/__sized__/birds/clarence/2-2-crop-c0-63__0-37-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/clarence/2-2-crop-c0-63__0-37-350x250-70.jpg,Christopher Koo,Dunlop Family,,2019-01-01,2019-08-28T10:41:37+12:00,2019-09-01T23:38:26.251976+12:00,0,Fledgling,Clarence,V-1780,Male,clarence,Alive,Waimakariri,"['white', 'brown']",2019-06-27,,new,['5']
41,White 9 on Pink,"Cockayne is named after Leonard Cockayne - one of the first great naturalists/botanists to spend significant time researching and exploring the natural history of the Arthur's Pass area.

This adult male kea has the same band combination as a young male kea (Greenie) who hangs out on nearby Avalanche Peak. This was an accidental double up, but we can work with it! 

If you happen to see the two birds with the same band combo together, you should be tell them apart easily, especially for the next three years. Cockayne is an adult so his eyelids and areas around his beak and cere (nostril area above the beak) are dark while young Greenie's are bright yellow (and will stay this way for another few years, becoming darker in his 3rd to 4th year). Greenie also has two pink bands - one on each leg, while Cockayne has just one - a large one on his right leg and a metal V band on his left leg. 

Adult White 9 on Pink - this handsome guy - needs a sponsor and a name! If you're interested, please get in touch.",False,https://media.keadatabase.nz/media/birds/white9onpink/P8230193.JPG,https://media.keadatabase.nz/media/__sized__/birds/white9onpink/P8230193-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/white9onpink/P8230193-crop-c0-5__0-5-350x250-70.JPG,Laura Young,,,2013-01-01,2019-01-03T22:39:04+13:00,2019-08-18T01:52:42.657080+12:00,6,Adult,Cockayne,V-2571,Male,cockayne,Alive,Waimakariri,"['white', 'pink']",2018-08-23,,new,['9']
42,Black N on Yellow,Cotswold was caught and banded at Deaths Corner in March 2017 as a fledgling. She is the first kea to be sponsored and named by a school.,False,https://media.keadatabase.nz/media/birds/cotswold/Cotswold_Photo_by_Mark_Brabyn.JPG,https://media.keadatabase.nz/media/__sized__/birds/cotswold/Cotswold_Photo_by_Mark_Brabyn-crop-c0-64__0-66-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/cotswold/Cotswold_Photo_by_Mark_Brabyn-crop-c0-64__0-66-350x250-70.JPG,Mark Brabyn,Cotswold School,http://www.cotswold.school.nz/Home/,2017-01-01,2017-06-28T00:21:37+12:00,2018-04-04T11:00:27.207877+12:00,2,Sub-Adult,Cotswold,V-0372,Female,cotswold,Alive,Waimakariri,"['yellow', 'black']",2017-03-17,,new,['N']
43,Yellow / Purple - x / Metal,"Daffy was banded in January 2010 at Death's Corner by Paul van Klink. He was an adult when banded and so would be at least 12 years old now (2018).

By zooming in on this photo we were able to determine the bottom left leg band number was V-0081which enabled us to track the name of this male.",False,https://media.keadatabase.nz/media/birds/daffy/Daffy.JPG,https://media.keadatabase.nz/media/__sized__/birds/daffy/Daffy-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/daffy/Daffy-crop-c0-5__0-5-350x250-70.JPG,Mark Westaway,,,2006-01-01,2017-06-28T00:21:20.363037+12:00,2018-04-04T11:00:27.506011+12:00,13,Adult,Daffy,V-0669,Male,daffy,Alive,Waimakariri,"['yellow', 'metal', 'purple']",2010-01-11,,old,[]
44,White T on Red,"Dennis was tagged outside the Homer Tunnel and named by Daniel Harwood in March 2019.  Daniel is from Canada and loves nature, especially birds, and traveling.  When he went to Hawaii, he heard a surf song on the radio.  The song was dedicated to several people, including a surfer named ‘Dennis’.  The way that keas fly looks like they are trying to surf, so he named the kea ‘Dennis’.  The photo shows Dennis’ tag, which is a white T on a red band.  Dennis is an adult male kea.",False,https://media.keadatabase.nz/media/birds/dennis/Dennis_-_kea_1.jpg,https://media.keadatabase.nz/media/__sized__/birds/dennis/Dennis_-_kea_1-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/dennis/Dennis_-_kea_1-crop-c0-5__0-5-350x250-70.jpg,Andrew Harwood,,,2015-01-01,2019-04-15T16:19:21+12:00,2019-08-18T01:52:43.528482+12:00,4,Adult,Dennis,V-2939,Male,dennis,Alive,Fiordland,"['white', 'red']",2019-03-18,,new,['T']
45,Black D on White,"Di is a cute young female kea who turned up (unbanded) at Arthur's Pass village late 2017 and has been seen hanging around with two other female fledglings. This is a little unusual because normally when big groups of young birds are seen, they consist largely of males and the odd female. Hopefully they all survive to adulthood and become good breeders.",False,https://media.keadatabase.nz/media/birds/di/Di_2_LY.jpeg,https://media.keadatabase.nz/media/__sized__/birds/di/Di_2_LY-crop-c0-5__0-5-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/di/Di_2_LY-crop-c0-5__0-5-350x250-70.jpeg,Laura Young,,,2017-01-01,2017-11-01T23:18:39+13:00,2018-04-04T11:00:27.844630+12:00,2,Sub-Adult,Di,V-1348,Female,di,Alive,Waimakariri,"['white', 'black']",2017-10-04,,new,['D']
46,Black S on Yellow,Douglas was captured and banded at Death's Corner. He is also sighted in Arthur's Pass township at the picnic area next to the Kea Information Shelter.  He is one of the birds that inspired this project.,False,https://media.keadatabase.nz/media/birds/douglas/douglas_lecomte.jpg,https://media.keadatabase.nz/media/__sized__/birds/douglas/douglas_lecomte-crop-c0-29__0-27-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/douglas/douglas_lecomte-crop-c0-29__0-27-350x250-70.jpg,Kate Le Comte,,,2011-01-01,2017-06-28T00:21:20.907621+12:00,2018-04-04T11:00:28.273686+12:00,8,Adult,Douglas,V-1649,Male,douglas,Alive,Waimakariri,"['yellow', 'black']",2015-01-30,,new,['S']
47,White * on Green,"Draco was banded in the Hawdon Valley in February 2015 by Corey Mosen as part of the February Summer Survey.

August 2017 update: Draco has been detected on the trail cameras, hanging out in Beryl's cavity. Could he be responsible for fertilising the eggs she has laid? Stay tuned as we learn more information over the course of the breeding season in the Hawdon Valley.",False,https://media.keadatabase.nz/media/birds/draco/Draco19Feb2017.JPG,https://media.keadatabase.nz/media/__sized__/birds/draco/Draco19Feb2017-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/draco/Draco19Feb2017-crop-c0-5__0-5-350x250-70.JPG,Corey Mosen,,,2010-01-01,2017-06-28T00:21:20.919659+12:00,2018-04-04T11:00:28.286959+12:00,9,Adult,Draco,V-1305,Male,draco,Alive,Waimakariri,"['white', 'green']",2015-02-20,,new,['*']
48,White S on Pink,"This young female kea has been sponsored by the caring and generous Sarah Mason and family. They have chosen the name ‘Edith’ - named after the girl in the movie ""Despicable me"" who always wears a pink and white beanie and clothes, like on this kea's band! Very cool! 

Edith was banded at Porters Ski area in August 2018. She was found with two other fledglings - two young males (TK and Pride - also with interesting stories of naming and sponsorship for our conservation project).",False,https://media.keadatabase.nz/media/birds/whitesonpink/40063268_292948341503802_5918466182798451952_n.jpg,https://media.keadatabase.nz/media/__sized__/birds/whitesonpink/40063268_292948341503802_5918466182798451952_n-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/whitesonpink/40063268_292948341503802_5918466182798451952_n-crop-c0-5__0-5-350x250-70.jpg,@yvettehodgept,Sarah Mason and family,,2018-01-01,2018-09-06T14:37:54+12:00,2019-01-03T21:31:30.733539+13:00,1,Juvenile,Edith,V-2419,Female,edith,Alive,Waimakariri,"['white', 'pink']",2018-08-30,,new,['S']
49,Metal - Black Z on Orange / Yellow K on Blue,Elton was caught and banded in April 2011 by Corey Mosen in the Wangapeka area. He was fitted with a radio transmitter and his movements were tracked for 9 months.,False,https://media.keadatabase.nz/media/birds/elton/Elton_22Sept2016.jpg,https://media.keadatabase.nz/media/__sized__/birds/elton/Elton_22Sept2016-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/elton/Elton_22Sept2016-crop-c0-5__0-5-350x250-70.jpg,Corey Mosen,,,2007-01-01,2017-06-28T00:21:21.219381+12:00,2018-04-04T11:00:28.775019+12:00,12,Adult,Elton,V-1661,Male,elton,Alive,Kahurangi,"['yellow', 'metal', 'blue', 'orange', 'black']",2011-04-27,,new,"['Z', 'K']"
50,Black * on White,"Elvis was banded in August 2017 at Porters Ski Area by Laura Young and George Moon.

This adult male was sponsored in September 2017 by HR & recruitment company Fosterra, who chose the name Elvis as a tribute to the superstar Elvis Presley.

""Number forty-seven said to number three:
'You're the cutest jailbird I ever did see.
I sure would be delighted with your company,
Come on and do the Jailhouse Rock with me.'""
—Jailhouse Rock, 1957",False,https://media.keadatabase.nz/media/birds/elvis/21729831_10203588419947774_1868652891_o.jpg,https://media.keadatabase.nz/media/__sized__/birds/elvis/21729831_10203588419947774_1868652891_o-crop-c0-5__0-33-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/elvis/21729831_10203588419947774_1868652891_o-crop-c0-5__0-33-350x250-70.jpg,Catherine Jamieson,Fosterra,http://fosterra.co.nz/,2013-01-01,2017-09-06T18:30:05+12:00,2018-04-04T11:00:28.832988+12:00,6,Adult,Elvis,V-1652,Male,elvis,Alive,Waimakariri,"['black', 'white']",2017-08-17,,new,['*']
